problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,proj_name
Problem 4,B,B14,166,9,12,6,0,10,0,1,1,0,0:11:01,Problem 4,experiment
Problem 5,E,B14,36,1,1,0,0,1,0,0,1,0,0:01:11,Problem 5,experiment
Problem 1,E,B15,45,3,1,0,0,1,1,1,1,0,0:04:34,Problem 1,experiment
Problem 2,E,B15,63,3,1,0,0,1,5,0,0,0,0:05:16,Problem 2,experiment
Problem 3,B,B15,124,4,1,2,0,4,0,0,1,0,0:06:10,Problem 3,experiment
Problem 4,B,B15,51,2,1,1,0,2,0,0,1,0,0:04:09,Problem 4,experiment
Problem 5,B,B15,54,4,1,3,0,4,0,0,1,0,0:02:05,Problem 5,experiment
Problem 1,E,B16,73,4,1,0,0,1,2,1,1,0,0:03:56,Problem 1,experiment
Problem 2,E,B16,87,4,1,0,0,1,2,1,1,0,0:04:05,Problem 2,experiment
Problem 3,E,B16,92,6,1,0,0,4,0,2,1,0,0:05:06,Problem 3,experiment
Problem 4,E,B16,177,8,1,0,0,6,0,2,0,0,0:07:42,Problem 4,experiment
Problem 5,C,B16,77,9,1,0,1,7,0,2,0,0,0:02:22,Problem  5,experiment
Problem 1,E,B17,25,3,1,0,0,2,1,0,1,0,0:01:49,Problem 1,experiment
Problem 2,E,B17,34,3,1,0,0,1,2,0,0,0,0:02:13,Problem 2,experiment
Problem 3,C,B17,35,4,1,0,1,1,2,1,1,0,0:03:28,Problem 3,experiment
Problem 4,C,B17,171,6,1,0,1,2,2,2,1,0,0:11:31,Problem 4,experiment
Problem 5,C,B17,42,6,2,0,1,2,2,2,1,0,0:01:18,Problem 5,experiment
Problem 1,B,B18,68,2,1,1,0,2,0,0,1,0,0:04:46,Problem 1,experiment
Problem 2,E,B18,159,2,1,0,0,2,0,0,1,0,0:04:53,Problem 2,experiment
Problem 3,B,B18,114,5,1,4,0,5,0,0,1,0,0:08:43,Problem 3,experiment
Problem 4,E,B18,40,1,1,0,0,7,0,0,0,0,0:02:19,Problem 4,experiment
Problem 5,B,B18,66,7,1,4,0,6,1,1,0,0,0:03:15,Problem 5,experiment
Problem 1,E,B19,17,2,1,0,0,1,1,0,1,0,0:01:24,Problem 1,experiment
Problem 2,B,B19,64,3,1,1,0,0,2,1,1,0,0:03:40,Problem 2,experiment
Problem 3,E,B19,96,1,1,0,0,1,0,0,1,0,0:03:15,Problem 3,experiment
Problem 4,B,B19,393,13,2,2,0,9,2,3,0,0,0:11:57,Problem 4,experiment
Problem 5,E,B19,124,4,1,0,0,4,0,0,0,0,0:03:55,problem 5,experiment
Problem 1,E,B20,24,1,1,0,0,0,1,0,1,0,0:02:37,Problem 1,Experiment
Problem 2,E,B20,65,2,1,0,0,1,1,0,1,0,0:03:08,Problem 2,Experiment
Problem 3,B,B20,87,4,2,1,0,4,0,0,1,0,0:01:06,Problem 3,Experiment
Problem 4,B,B20,249,11,2,5,0,9,2,1,0,0,0:21:21,Problem 4,Experiment
Problem 5,B,B20,80,5,1,3,0,4,1,0,0,0,0:03:21,Problem 5,Experiment
Problem 1,E,B21,28,3,1,0,0,1,1,1,1,0,0:02:23,Problem 1,experiment
Problem 2,E,B21,76,2,1,0,0,1,1,0,1,0,0:03:37,Problem 2,experiment
Problem 3,E,B21,61,3,1,0,0,2,1,0,0,0,0:06:30,Problem 3,experiment
Problem 4,B,B21,229,9,2,2,0,4,4,3,1,0,0:25:17,Problem 4,experiment
Problem 5,E,B21,62,2,1,0,0,2,1,0,1,0,0:02:52,Problem 5,experiment
Problem 1,B,B22,73,8,1,2,0,3,4,1,1,0,0:05:31,Problem 1,experiment
Problem 2,B,B22,76,4,1,1,0,1,3,0,1,0,0:03:24,Problem 2,experiment
Problem 3,B,B22,98,4,1,3,0,4,0,0,0,0,0:08:24,Problem 3,experiment
Problem 4,B,B22,82,8,1,5,0,6,1,1,0,0,0:10:22,Problem 4,experiment
Problem 5,C,B22,82,4,1,0,1,4,0,0,0,0,0:04:38,Problem  5,experiment
Problem 1,E,B23,25,2,1,0,0,0,1,1,1,0,0:02:11,Problem 1,experiment
Problem 2,E,B23,135,4,6,0,0,6,1,1,1,0,0:05:03,Problem 2,experiment
Problem 3,E,B23,13,1,2,0,0,0,1,0,0,0,0:01:14,Problem 3,experiment
Problem 4,D,B23,167,1,11,0,0,5,0,1,1,15,0:06:05,Problem 4,experiment
Problem 5,E,B23,67,2,4,0,0,1,0,1,1,0,0:10:16,Problem 5,experiment
Problem 1,E,B24,37,2,1,0,0,1,1,0,1,0,0:01:56,Problem 1,experiment
Problem 2,E,B24,81,4,1,0,0,2,1,1,0,0,0:03:18,Problem 2,experiment
Problem 3,E,B24,225,4,5,0,0,1,2,1,1,0,0:18:52,Problem 3,experiment
Problem 4,B,B24,109,12,4,8,0,10,1,1,1,0,0:08:43,Problem 4,experiment
Problem 5,E,B24,16,1,1,0,0,1,0,0,1,0,0:03:25,problem 5,experiment
Problem 1,E,B26,41,3,1,0,0,2,0,2,1,0,0:02:21,problem 1,experiment
Problem 2,E,B26,76,2,1,0,0,0,1,1,0,0,0:06:23,problem 2,experiment
Problem 3,E,B26,14,1,1,0,0,1,0,0,0,0,0:01:02,Problem 3,experiment
Problem 4,E,B26,152,3,2,0,0,1,3,1,0,0,0:04:58,problem 4,experiment
Problem 5,E,B26,37,1,1,0,0,1,0,0,0,0,0:06:55,problem 5,experiment
Problem 1,E,B27,15,1,1,0,0,0,1,0,1,0,0:01:39,Problem 1,experiment
Problem 2,B,B27,221,6,1,1,0,3,3,0,1,0,0:07:30,Problem 2,experiment
Problem 3,E,B27,134,3,1,0,0,1,2,0,0,0,0:04:50,Problem 3 ,experiment
Problem 4,C,B27,261,10,11,2,1,5,3,2,1,0,0:08:52,Problem 4,experiment
Problem 5,C,B27,45,10,1,2,1,5,3,2,1,0,0:03:28,Problem 5,experiment
Problem 1,E,B28,157,2,1,0,0,1,1,0,1,0,0:03:51,Problem 1,experiment
